iter	Passed	Remaining
695	954	416
696	955	415
697	956	413
698	957	412
699	958	410
700	959	409
701	960	407
702	961	406
703	962	404
704	963	403
705	964	401
706	965	400
707	966	398
708	967	397
709	968	395
710	969	394
711	970	392
712	971	391
713	972	389
714	973	388
715	975	386
716	975	385
717	976	383
718	977	382
719	979	380
720	980	379
721	981	377
722	982	376
723	982	374
724	983	373
725	985	371
726	986	370
727	987	368
728	988	367
729	989	365
730	990	364
731	991	363
732	992	361
733	993	360
734	994	358
735	995	357
736	996	355
737	997	354
738	998	352
739	999	351
740	1000	349
741	1001	348
742	1002	346
743	1003	345
744	1004	343
745	1005	342
746	1006	340
747	1007	339
748	1007	337
749	1009	336
750	1010	334
751	1011	333
752	1012	332
753	1013	330
754	1013	328
755	1015	327
756	1016	326
757	1017	324
758	1018	323
759	1019	321
760	1020	320
761	1020	318
762	1022	317
763	1023	316
764	1024	314
765	1025	313
766	1026	311
767	1027	310
768	1028	308
769	1029	307
770	1030	305
771	1031	304
772	1031	303
773	1032	301
774	1033	300
775	1034	298
776	1035	297
777	1036	295
778	1037	294
779	1038	292
780	1039	291
781	1040	290
782	1041	288
783	1042	287
784	1043	285
785	1044	284
786	1045	282
787	1046	281
788	1047	280
789	1048	278
790	1049	277
791	1050	275
792	1051	274
793	1052	273
794	1053	271
795	1054	270
796	1055	268
797	1056	267
798	1057	266
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1062	259
804	1063	257
805	1064	256
806	1065	254
807	1066	253
808	1067	252
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1072	245
814	1073	243
815	1074	242
816	1075	240
817	1075	239
818	1076	237
819	1078	236
820	1079	235
821	1080	233
822	1081	232
823	1082	231
824	1082	229
825	1084	228
826	1084	226
827	1085	225
828	1087	224
829	1087	222
830	1088	221
831	1089	220
832	1090	218
833	1091	217
834	1092	215
835	1093	214
836	1094	213
837	1095	211
838	1096	210
839	1097	209
840	1098	207
841	1099	206
842	1100	204
843	1101	203
844	1102	202
845	1103	200
846	1104	199
847	1105	198
848	1106	196
849	1107	195
850	1108	194
851	1109	192
852	1110	191
853	1111	189
854	1112	188
855	1113	187
856	1114	185
857	1115	184
858	1116	183
859	1117	181
860	1118	180
861	1119	179
862	1120	177
863	1121	176
864	1122	175
865	1123	173
866	1124	172
